image,video_path,title,duration,views,date_posted,title_lower,series,error,days_since_posted,views_int,duration_sec,duration_min
https://i.ytimg.com/vi/aVvR8ABCPvU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBT7yhwFDdeBvn7kN0roAyVkYDg2A,/watch?v=aVvR8ABCPvU,Your Life Now Vs. In The Past,      4:02    ,1M ,2 years ago,your life now vs. in the past,None,True,730,1000000,202,3.37
https://i.ytimg.com/vi/BNAgri-C8Y0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDhU71at4iAKMgTvLhPZQRDzms6-A,/watch?v=BNAgri-C8Y0,What If You Only Ate Meat?,      3:51    ,2.7M ,2 years ago,what if you only ate meat?,None,True,730,2700000,201,3.35
https://i.ytimg.com/vi/4bzWwbjYi0c/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLChmABUX9pkfHTRFiq1YUCUHQZ7ng,/watch?v=4bzWwbjYi0c,The 11 Greatest Threats To Humanity,      4:11    ,1M ,2 years ago,the 11 greatest threats to humanity,None,True,730,1000000,211,3.52
https://i.ytimg.com/vi/JL8jKAZTZ-4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCi23Z1kFoRstAMlvQrOKPUe0-4Gw,/watch?v=JL8jKAZTZ-4,What If You Stopped Eating Food?,      3:26    ,738K ,2 years ago,what if you stopped eating food?,None,True,730,73800000,176,2.93
https://i.ytimg.com/vi/zNUPS919HKM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB-FiNI1E4wpDd1GgMeyuc3Jm56Ig,/watch?v=zNUPS919HKM,Could The Jedi Exist? (Star Wars Science),      7:41    ,1M ,2 years ago,could the jedi exist? (star wars science),None,True,730,1000000,391,6.52
https://i.ytimg.com/vi/TEWLY3mdk8E/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBU3pmgzBfmJgkx7nKTFKRKG54IUQ,/watch?v=TEWLY3mdk8E,How Can You Change Somebody's Opinion?,      4:39    ,1.1M ,2 years ago,how can you change somebody's opinion?,None,True,730,1100000,239,3.98
https://i.ytimg.com/vi/qS6LoRYUdhw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBmp1aaUAM9mJ4D-ArtNnmFk2a5vA,/watch?v=qS6LoRYUdhw,What Is The Most Dangerous Drug In The World? ft. In A Nutshell (Kurzgesagt),      4:18    ,4M ,2 years ago,what is the most dangerous drug in the world? ft. in a nutshell (kurzgesagt),None,True,730,4000000,218,3.63
https://i.ytimg.com/vi/g9oCOSvYkWc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAB2xdBQBnyifkELD3Sf9MPiam43Q,/watch?v=g9oCOSvYkWc,Your Body Is Amazing Pt. 2,      3:32    ,4.3M ,2 years ago,your body is amazing pt. 2,None,True,730,4300000,182,3.03
https://i.ytimg.com/vi/iALfvFpcItE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBev7lxsjZXKGRRruN99xZTpDGwvA,/watch?v=iALfvFpcItE,Why Are You Anxious?,      3:46    ,1.4M ,2 years ago,why are you anxious?,None,True,730,1400000,196,3.27
https://i.ytimg.com/vi/uxI-8GTqDYA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCdYA17XXkLy2zQIFVFP3u_oEMKWg,/watch?v=uxI-8GTqDYA,How To Survive The Apocalypse  - Scientific Survival Tips,      5:03    ,1.5M ,2 years ago,how to survive the apocalypse  - scientific survival tips,None,True,730,1500000,253,4.22
https://i.ytimg.com/vi/B9SptdjpJBQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD2XZWGt8YJ2p8oaNfzzwGriD1vLw,/watch?v=B9SptdjpJBQ,How To Learn Faster,      4:07    ,4.8M ,2 years ago,how to learn faster,None,True,730,4800000,207,3.45
https://i.ytimg.com/vi/r68ENtBNfAE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCDHkB5bW3HmhzA18VxViAumpcaOQ,/watch?v=r68ENtBNfAE,When Should You Have A Baby?,      4:43    ,2.5M ,2 years ago,when should you have a baby?,None,True,730,2500000,243,4.05
