,image,video_path,title,duration,views,date_posted
14,https://i.ytimg.com/vi/FggQKuiIjAI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC4_S2tUg101xexiI2v3KsVBOkCjA,/watch?v=FggQKuiIjAI,Don’t fry enoki mushrooms. Do this to cook them in 5 Mins 香辣金针菇 Spicy Enoki Mushrooms in Rice Cooker,"
      2:45
    ",22K views,2 months ago
15,https://i.ytimg.com/vi/OvFBXKglb7M/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAxqK9isERpGn8oKUloQINsgx748g,/watch?v=OvFBXKglb7M,Make this Yummy Teriyaki Tofu with ONLY 7 ingredients! 照烧豆腐 Braised Tofu in Teriyaki Sauce / Glaze,"
      3:36
    ",29K views,2 months ago
16,https://i.ytimg.com/vi/PBb7My4WpWw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD2P0dWdNsZyAZ-uJa-BIBmN3Fogg,/watch?v=PBb7My4WpWw,These were So Good! We Just Kept Eating! Kam Heong Prawns 甘香明虾 Chinese Restaurant Shrimp Recipe,"
      5:21
    ",61K views,2 months ago
17,https://i.ytimg.com/vi/JhBoqez5k-g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAAd-1hS1X3ZaKdaycctu-n5uCFvQ,/watch?v=JhBoqez5k-g,Make this Delicious Recipe in Just 10 Minutes! Super Easy Treasure Pot 速宝锅 Chinese One Dish Meal,"
      4:14
    ",90K views,2 months ago
18,https://i.ytimg.com/vi/GdFc-4UqPWg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAGM5mLdLkLxPBroTUvbMN2cspnkA,/watch?v=GdFc-4UqPWg,No Rice Cooker Recipe: One Pot Chicken & Mushroom Rice 香菇鸡饭 Stove Top Cast Iron One Pot Chinese Meal,"
      4:26
    ",37K views,3 months ago
19,https://i.ytimg.com/vi/XTQjDgVEhhg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD43X5yxCo-BQ2pRj3oZkhW588yOQ,/watch?v=XTQjDgVEhhg,Secret Family Recipe Revealed! Kung Pao Prawns (Shrimp) & Lotus Root 宫保虾球炒莲藕 Chinese Szechuan Shrimp,"
      6:39
    ",41K views,3 months ago
20,https://i.ytimg.com/vi/ToYr2Fn_9ak/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDWcxEnw7SmmSZ8Mc6rU22F0O-mnQ,/watch?v=ToYr2Fn_9ak,Super Easy Cold Weather Recipe: Drunken Chicken 醉鸡 Chinese Chicken Recipe | Chinese Wine Chicken,"
      4:30
    ",29K views,3 months ago
21,https://i.ytimg.com/vi/dO1fb9Ps0mQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCNinmmxrz7c7Wvjjh5NaaQOSCE5g,/watch?v=dO1fb9Ps0mQ,Insanely Tasty & Easy Pork Recipe! Japanese Hoikoro 日式回锅肉 Pork Shabu Shabu & Cabbage Stir Fry,"
      3:28
    ",25K views,3 months ago
22,https://i.ytimg.com/vi/5fvkBV3ZapI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAVl12XODvP4sR-isOetZXdTyqUeg,/watch?v=5fvkBV3ZapI,Stir Fry Any Vegetables w/ this Chinese Classic Recipe! Baby Kailan & Air Fried Crispy Pork Stir Fry,"
      4:51
    ",23K views,3 months ago
23,https://i.ytimg.com/vi/dpj52ZD7Qn0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBIy7NsHTvSXvqHdJYjPDeEWofqXg,/watch?v=dpj52ZD7Qn0,The Rice Cooker recipe U didn’t know U needed! Super Easy Chicken w/ Glutinous Rice 糯米鸡 Lor Mai Gai,"
      4:32
    ",61K views,3 months ago
